,theta,x_pointing,y_pointing
64,-0.969270260057,751.613817576,684.698642995
65,-1.94573733633,751.602886962,684.288734533
66,-1.57577905682,749.628409846,684.397876754
67,-0.638856185007,749.762347624,684.559210212
68,-0.862924822753,750.145393753,685.031928169
69,-0.969482732608,748.753564969,684.493472496
70,-1.91990193289,747.852638623,684.568909182
71,-1.52608735379,747.13253058,684.362602855
72,-0.630312646978,747.716712639,684.079868118
73,-0.815354268392,746.633917919,685.43567276
74,-0.952134333771,746.244173216,684.343412257
75,-1.93386801136,746.142747381,684.103982197
76,-1.57070652643,743.729847161,683.13557271
77,-0.692578614149,742.030530566,683.245897206
78,-0.868412923423,742.800089975,684.512124861
79,-0.969126733133,742.724929488,683.257506517
80,-1.94478279735,742.763108473,682.830750103
81,-1.55614139648,741.454402777,682.427429029
82,-0.638305618637,741.560411435,682.483491674
83,-0.85989039195,740.357297019,683.299012075
84,-0.959987369487,740.241587652,682.349221163
85,-1.93699748482,740.4499562,682.255097211
86,-1.55868743178,737.980030785,681.794927721
87,-0.676363071723,738.562967536,682.160890979
88,-0.863334399421,738.130355942,683.446351234
89,-0.987616715225,737.084616339,682.17996947
90,-1.93338852244,737.555902698,682.163065414
91,-1.58331172316,736.637681434,682.86309604
92,-0.657610559753,735.17223247,683.10599915
93,-0.854197190552,735.56904634,684.124686071
94,-0.960590395937,735.065168443,683.396010614
95,-1.89057938581,735.128868285,682.22204159
96,-1.56113114329,733.691409606,683.060500027
97,-0.660618717496,732.97247978,683.160621689
98,-0.863437281875,732.03660798,683.714086661
99,-0.996837300406,732.360034838,683.068349777
100,-1.90348782108,732.49856267,683.202262649
101,-1.57953305993,731.535705121,683.647044593
102,-0.658545734911,731.951628942,683.462606033
103,-0.874489287449,732.458895152,685.126442201
104,-0.962511184529,731.71901574,684.362253304
105,-1.88009956198,731.85030428,684.026698337
106,-1.55696794133,730.305841982,684.784751091
107,-0.657965264478,730.71050973,685.105246549
108,-0.889642612461,730.682148193,686.494058722
109,-0.954857498102,730.647723063,685.607820947
110,-1.89037073304,732.758950792,686.196624744
111,-1.53643361298,731.060879672,686.429080689
112,-0.659792739922,730.993736055,686.477748104
113,-0.871262305074,730.620224447,687.454277414
114,-0.976748844046,729.47216512,686.642358215
115,-1.86843015935,729.751098481,687.006848076
116,-1.56336746962,727.46213222,687.101515166
117,-0.63909441724,726.277795692,687.00445203
118,-0.82744308947,726.485607202,688.453941232
119,-0.955705593811,725.496537263,687.708644619
120,-1.86371673569,725.690797314,687.080747457
121,-1.56531931633,724.348150713,687.575661321
122,-0.572587834292,723.321191898,687.618324471
123,-0.857652555733,723.959300667,688.918733194
124,-0.965094353233,721.575489014,687.933094575
125,-1.87673103315,720.573411907,687.818989197
126,-1.57467635342,719.842885598,688.484910734
127,-0.659163259436,718.522655334,688.74390642
128,-0.855120823653,717.250928753,689.984322453
129,-0.944266821214,717.090191181,688.666563363
130,-1.85544162468,717.444828722,688.19384654
131,-1.57476739936,715.847791288,688.854895181
132,-0.677038933021,715.69314921,689.203533422
